material,symbol,frequency_hz,linear_stopping_voltage_v,emission_possible,physical_stopping_voltage_v
Silver,Ag,400000000000000,-2.6457329212304561,false,
Silver,Ag,401000000000000,-2.6415972535335324,false,
Silver,Ag,402000000000000,-2.6374615858366086,false,
Silver,Ag,403000000000000,-2.6333259181396844,false,
Silver,Ag,404000000000000,-2.6291902504427611,false,
Silver,Ag,405000000000000,-2.6250545827458369,false,
Silver,Ag,406000000000000,-2.6209189150489132,false,
Silver,Ag,407000000000000,-2.6167832473519894,false,
Silver,Ag,408000000000000,-2.6126475796550652,false,
Silver,Ag,409000000000000,-2.6085119119581415,false,
Silver,Ag,410000000000000,-2.6043762442612177,false,
Silver,Ag,411000000000000,-2.6002405765642935,false,
Silver,Ag,412000000000000,-2.5961049088673702,false,
Silver,Ag,413000000000000,-2.591969241170446,false,
Silver,Ag,414000000000000,-2.5878335734735223,false,
Silver,Ag,415000000000000,-2.5836979057765985,false,
Silver,Ag,416000000000000,-2.5795622380796743,false,
Silver,Ag,417000000000000,-2.5754265703827506,false,
Silver,Ag,418000000000000,-2.5712909026858268,false,
Silver,Ag,419000000000000,-2.5671552349889026,false,
Silver,Ag,420000000000000,-2.5630195672919793,false,
Silver,Ag,421000000000000,-2.5588838995950551,false,
Silver,Ag,422000000000000,-2.5547482318981314,false,
Silver,Ag,423000000000000,-2.5506125642012076,false,
Silver,Ag,424000000000000,-2.5464768965042834,false,
Silver,Ag,425000000000000,-2.5423412288073597,false,
Silver,Ag,426000000000000,-2.5382055611104359,false,
Silver,Ag,427000000000000,-2.5340698934135117,false,
Silver,Ag,428000000000000,-2.5299342257165884,false,
Silver,Ag,429000000000000,-2.5257985580196642,false,
Silver,Ag,430000000000000,-2.5216628903227405,false,
Silver,Ag,431000000000000,-2.5175272226258167,false,
Silver,Ag,432000000000000,-2.5133915549288925,false,
Silver,Ag,433000000000000,-2.5092558872319688,false,
Silver,Ag,434000000000000,-2.505120219535045,false,
Silver,Ag,435000000000000,-2.5009845518381209,false,
Silver,Ag,436000000000000,-2.4968488841411975,false,
Silver,Ag,437000000000000,-2.4927132164442733,false,
Silver,Ag,438000000000000,-2.4885775487473496,false,
Silver,Ag,439000000000000,-2.4844418810504258,false,
Silver,Ag,440000000000000,-2.4803062133535017,false,
Silver,Ag,441000000000000,-2.4761705456565779,false,
Silver,Ag,442000000000000,-2.4720348779596542,false,
Silver,Ag,443000000000000,-2.46789921026273,false,
Silver,Ag,444000000000000,-2.4637635425658067,false,
Silver,Ag,445000000000000,-2.4596278748688825,false,
Silver,Ag,446000000000000,-2.4554922071719587,false,
Silver,Ag,447000000000000,-2.451356539475035,false,
Silver,Ag,448000000000000,-2.4472208717781108,false,
Silver,Ag,449000000000000,-2.4430852040811875,false,
Silver,Ag,450000000000000,-2.4389495363842633,false,
Silver,Ag,451000000000000,-2.4348138686873395,false,
Silver,Ag,452000000000000,-2.4306782009904158,false,
Silver,Ag,453000000000000,-2.4265425332934916,false,
Silver,Ag,454000000000000,-2.4224068655965678,false,
Silver,Ag,455000000000000,-2.4182711978996441,false,
Silver,Ag,456000000000000,-2.4141355302027199,false,
Silver,Ag,457000000000000,-2.4099998625057966,false,
Silver,Ag,458000000000000,-2.4058641948088724,false,
Silver,Ag,459000000000000,-2.4017285271119486,false,
Silver,Ag,460000000000000,-2.3975928594150249,false,
Silver,Ag,461000000000000,-2.3934571917181007,false,
Silver,Ag,462000000000000,-2.3893215240211769,false,
Silver,Ag,463000000000000,-2.3851858563242532,false,
Silver,Ag,464000000000000,-2.381050188627329,false,
Silver,Ag,465000000000000,-2.3769145209304057,false,
Silver,Ag,466000000000000,-2.3727788532334815,false,
