quantum_number_n,energy_j,energy_ev,energy_over_ground,gap_to_next_j,gap_to_next_ev
1,6.0246673940365914e-20,0.37603016210487261,1,1.8074002182109774e-19,1.1280904863146177
2,2.4098669576146366e-19,1.5041206484194904,4,3.0123336970182957e-19,1.8801508105243632
3,5.4222006546329323e-19,3.3842714589438536,9,4.217267175825614e-19,2.6322111347341082
4,9.6394678304585462e-19,6.0164825936779618,16,5.4222006546329303e-19,3.3842714589438518
5,1.5061668485091477e-18,9.4007540526218136,24.999999999999996,6.6271341334402525e-19,4.1363317831536008
6,2.1688802618531729e-18,13.537085835775414,36,7.8320676122475688e-19,4.8883921073633445
7,2.9520870230779298e-18,18.425477943138759,49,9.0370010910548871e-19,5.6404524315730882
8,3.8557871321834185e-18,24.065930374711847,64,1.0241934569862202e-18,6.3925127557828318
9,4.8799805891696386e-18,30.458443130494679,81,1.144686804866952e-18,7.1445730799925755
10,6.0246673940365906e-18,37.603016210487255,99.999999999999986,,
