quantum_number_n,expected_x_m,expected_x_squared_m2,delta_x_m,expected_p_kg_m_s,expected_p_squared_kg2_m2_s2,delta_p_kg_m_s,delta_x_delta_p_j_s,delta_x_delta_p_over_hbar,margin_above_half_hbar
1,5.0000000000000003e-10,2.8267274151216443e-19,1.80756027595664e-10,0,1.0976201408180254e-49,3.3130350749999996e-25,5.9885105944210266e-35,0.56786180838661193,0.067861808386611933
2,5.0000000000000003e-10,3.2066818537804114e-19,2.6583488367413546e-10,0,4.3904805632721015e-49,6.6260701499999992e-25,1.761440587541911e-34,1.6702898352371223,1.1702898352371223
3,5.0000000000000003e-10,3.2770437868653679e-19,2.7875505140990144e-10,0,9.8785812673622271e-49,9.9391052249999988e-25,2.7705757879632948e-34,2.6272044649811743,2.1272044649811743
4,5.0000000000000003e-10,3.3016704634451031e-19,2.8313785749085251e-10,0,1.7561922253088406e-48,1.3252140299999998e-24,3.7521826117101827e-34,3.5580152521856636,3.0580152521856636
5,5.0000000000000003e-10,3.3130690966048655e-19,2.8514366494889306e-10,0,2.744050352045063e-48,1.6565175374999998e-24,4.7234548169486536e-34,4.4790262151055593,3.9790262151055593
6,5.0000000000000003e-10,3.3192609467163424e-19,2.8622734787513615e-10,0,3.9514325069448908e-48,1.9878210449999998e-24,5.6896874576073163e-34,5.3952584000461066,4.8952584000461066
7,5.0000000000000003e-10,3.3229944370432986e-19,2.8687879619157963e-10,0,5.3783386900083238e-48,2.3191245524999997e-24,6.6530765983953573e-34,6.3087942301030502,5.8087942301030502
8,5.0000000000000003e-10,3.3254176158612756e-19,2.8730082071955099e-10,0,7.0247689012353624e-48,2.6504280599999997e-24,7.6147015689612724e-34,7.2206571819428769,6.7206571819428769
9,5.0000000000000003e-10,3.3270789392813375e-19,2.8758980150230245e-10,0,8.8907231406260068e-48,2.9817315675e-24,8.5751558963047408e-34,8.1314100688228219,7.6314100688228219
10,5.0000000000000003e-10,3.3282672741512169e-19,2.8779632974574512e-10,0,1.0976201408180252e-47,3.3130350749999996e-24,9.5347933490391938e-34,9.0413883525933851,8.5413883525933851
