interior_point_count,grid_spacing_m,quantum_number_n,numerical_energy_j,numerical_energy_ev,analytical_energy_j,analytical_energy_ev,relative_energy_error,observed_convergence_order,finest_grid_absolute_overlap
100,9.900990099009901e-12,1,6.0241816641575415e-20,0.37599984523039437,6.0246673940365914e-20,0.37603016210487261,8.0623517827843908e-05,1.9999222630517774,
100,9.900990099009901e-12,2,2.4090898649928674e-19,1.5036356253544436,2.4098669576146366e-19,1.5041206484194904,0.00032246287261365308,1.9999555491455128,
100,9.900990099009901e-12,3,5.4182672575452322e-19,3.3818164255822198,5.4222006546329323e-19,3.3842714589438536,0.00072542447951261366,1.9999060224315366,
100,9.900990099009901e-12,4,9.6270391592904439e-19,6.008725227290042,9.6394678304585462e-19,6.0164825936779618,0.0012893524193141148,1.9998335708539905,
100,9.900990099009901e-12,5,1.5031333855232675e-18,9.3818206658684034,1.5061668485091477e-18,9.4007540526218136,0.0020140285180773525,1.9997403233561599,
100,9.900990099009901e-12,6,2.1625923039284095e-18,13.497839489328177,2.1688802618531729e-18,13.537085835775414,0.002899172460258686,1.9996258236053415,
100,9.900990099009901e-12,7,2.940442687231441e-18,18.352799715286832,2.9520870230779298e-18,18.425477943138759,0.0039444419339467948,1.9994906689375438,
100,9.900990099009901e-12,8,3.8359320154231362e-18,23.942004483278069,3.8557871321834185e-18,24.065930374711847,0.0051494328082989727,1.9993348238523772,
100,9.900990099009901e-12,9,4.8481939604127503e-18,30.260046598662047,4.8799805891696386e-18,30.458443130494679,0.006513679342789562,1.9991581123909203,
100,9.900990099009901e-12,10,5.9762492241444445e-18,37.300813763736642,6.0246673940365906e-18,37.603016210487255,0.008036654428437328,1.9989606591194458,
200,4.9751243781094527e-12,1,6.024544747320238e-20,0.37602250709894192,6.0246673940365914e-20,0.37603016210487261,2.0357425287041798e-05,1.9999222630517774,
200,4.9751243781094527e-12,2,2.4096707276625537e-19,1.50399817131683,2.4098669576146366e-19,1.5041206484194904,8.1427711792455955e-05,1.9999555491455128,
200,4.9751243781094527e-12,3,5.42120728094865e-19,3.3836514438573757,5.4222006546329323e-19,3.3842714589438536,0.00018320489180596709,1.9999060224315366,
200,4.9751243781094527e-12,4,9.6363284580128268e-19,6.0145231515171549,9.6394678304585462e-19,6.0164825936779618,0.00032567902097248151,1.9998335708539905,
200,4.9751243781094527e-12,5,1.5054004563264499e-18,9.3959706088589101,1.5061668485091477e-18,9.4007540526218136,0.00050883617804781426,1.9997403233561599,
200,4.9751243781094527e-12,6,2.1672912133633953e-18,13.52716777520671,2.1688802618531729e-18,13.537085835775414,0.00073265846793216065,1.9996258236053415,
200,4.9751243781094527e-12,7,2.9491434261881432e-18,18.407105456439602,2.9520870230779298e-18,18.425477943138759,0.00099712402336891493,1.9994906689375438,
200,4.9751243781094527e-12,8,3.8507660991583605e-18,24.03459155152278,3.8557871321834185e-18,24.065930374711847,0.0013022070080447319,1.9993348238523772,
200,4.9751243781094527e-12,9,4.871938978370533e-18,30.408251343718781,4.8799805891696386e-18,30.458443130494679,0.0016478776200365957,1.9991581123909203,
200,4.9751243781094527e-12,10,6.0124126054655397e-18,37.526527836415447,6.0246673940365906e-18,37.603016210487255,0.0020341020955249854,1.9989606591194458,
400,2.4937655860349129e-12,1,6.0246365790852396e-20,0.37602823878688774,6.0246673940365914e-20,0.37603016210487261,5.1147971060327099e-06,1.9999222630517774,
400,2.4937655860349129e-12,2,2.4098176539433337e-19,1.5040898754883063,2.4098669576146366e-19,1.5041206484194904,2.0459084327065155e-05,1.9999555491455128,
400,2.4937655860349129e-12,3,5.4219510573511571e-19,3.3841156725739374,5.4222006546329323e-19,3.3842714589438536,4.6032468673378138e-05,1.9999060224315366,
400,2.4937655860349129e-12,4,9.6386789910863776e-19,6.0159902388679933,9.6394678304585462e-19,6.0164825936779618,8.1834327998493955e-05,1.9998335708539905,
400,2.4937655860349129e-12,5,1.5059742643181068e-18,9.3995520366458347,1.5061668485091477e-18,9.4007540526218136,0.00012786378297430977,1.9997403233561599,
400,2.4937655860349129e-12,6,2.1684809282619581e-18,13.53459339154211,2.1688802618531729e-18,13.537085835775414,0.00018411970371918422,1.9996258236053415,
400,2.4937655860349129e-12,7,2.9513472279752033e-18,18.420860505291849,2.9520870230779298e-18,18.425477943138759,0.00025060070958041045,1.9994906689375438,
400,2.4937655860349129e-12,8,3.8545251131299954e-18,24.058053471337765,3.8557871321834185e-18,24.065930374711847,0.00032730516757248552,1.9993348238523772,
400,2.4937655860349129e-12,9,4.8779591489763609e-18,30.445826293184858,4.8799805891696386e-18,30.458443130494679,0.00041423119546090103,1.9991581123909203,
400,2.4937655860349129e-12,10,6.0215865197535971e-18,37.583786905692683,6.0246673940365906e-18,37.603016210487255,0.00051137665890785429,1.9989606591194458,
800,1.2484394506866419e-12,1,6.0246596709111341e-20,0.37602968006529636,6.0246673940365914e-20,0.37603016210487261,1.2819173162891674e-06,1.9999222630517774,
800,1.2484394506866419e-12,2,2.4098546008197415e-19,1.5041129359147436,2.4098669576146366e-19,1.5041206484194904,5.1275838510423963e-06,1.9999555491455128,
800,1.2484394506866419e-12,3,5.4221380985517471e-19,3.3842324145090155,5.4222006546329323e-19,3.3842714589438536,1.1537028075808708e-05,1.9999060224315366,
800,1.2484394506866419e-12,4,9.6392701230353444e-19,6.016359194410362,9.6394678304585462e-19,6.0164825936779618,2.0510201048354836e-05,1.9998335708539905,
800,1.2484394506866419e-12,5,1.5061185803207684e-18,9.4004527862860368,1.5061668485091477e-18,9.4007540526218136,3.2047039427986429e-05,1.9997403233561599,
800,1.2484394506866419e-12,6,2.1687801735047127e-18,13.536461133440252,2.1688802618531729e-18,13.537085835775414,4.6147475368101881e-05,1.9996258236053415,
800,1.2484394506866419e-12,7,2.9519015982881993e-18,18.424320612631025,2.9520870230779298e-18,18.425477943138759,6.2811424013219222e-05,1.9994906689375438,
800,1.2484394506866419e-12,8,3.8554708081156009e-18,24.063956035172094,3.8557871321834185e-18,24.065930374711847,8.2038778846803365e-05,1.9993348238523772,
800,1.2484394506866419e-12,9,4.8794739035919619e-18,30.455280647863713,4.8799805891696386e-18,30.458443130494679,0.00010382942481395945,1.9991581123909203,
800,1.2484394506866419e-12,10,6.0238951327325989e-18,37.598196134550541,6.0246673940365906e-18,37.603016210487255,0.00012818322630658204,1.9989606591194458,
1600,6.2460961898813248e-13,1,6.0246654604375747e-20,0.37603004141911456,6.0246673940365914e-20,0.37603016210487261,3.2094701503339808e-07,1.9999222630517774,0.99999999999999767
1600,6.2460961898813248e-13,2,2.4098638645223621e-19,1.5041187178631406,2.4098669576146366e-19,1.5041206484194904,1.2835116331704195e-06,1.9999555491455128,1.0000000000000004
1600,6.2460961898813248e-13,3,5.4221849959914235e-19,3.3842616855885463,5.4222006546329323e-19,3.3842714589438536,2.8878756995848343e-06,1.9999060224315366,0.99999999999999878
1600,6.2460961898813248e-13,4,9.6394183415188186e-19,6.0164517051113222,9.6394678304585462e-19,6.0164825936779618,5.1339908590448854e-06,1.9998335708539905,1.0000000000000004
1600,6.2460961898813248e-13,5,1.5061547662745482e-18,9.4006786412449213,1.5061668485091477e-18,9.4007540526218136,8.0218434042994197e-06,1.9997403233561599,1
1600,6.2460961898813248e-13,6,2.1688552081520645e-18,13.536929462872598,2.1688802618531729e-18,13.537085835775414,1.1551445023999915e-05,1.9996258236053415,1
1600,6.2460961898813248e-13,7,2.9520406080752987e-18,18.425188243478647,2.9520870230779298e-18,18.425477943138759,1.5722775876247615e-05,1.9994906689375438,1.0000000000000004
