interior_point_count,grid_spacing_m,quantum_number_n,normalization,expected_x_m_numeric,expected_x_squared_m2_numeric,p_mean_real_kg_m_s_numeric,p_mean_imaginary_kg_m_s_numeric,p_squared_kg2_m2_s2_numeric,delta_x_m_numeric,delta_p_kg_m_s_numeric,delta_x_delta_p_j_s_numeric,uncertainty_product_over_hbar_numeric,heisenberg_ratio_numeric,delta_x_m_analytical,delta_p_kg_m_s_analytical,delta_x_delta_p_j_s_analytical,uncertainty_product_over_hbar_analytical,relative_delta_x_error,relative_p_squared_error,relative_delta_p_error,relative_uncertainty_error,relative_energy_error,eigenvector_overlap
100,9.900990099009901e-12,1,1.0000000000000002,5.0000000000000013e-10,2.8267273835018021e-19,0,-1.5621008024178452e-41,1.0975316468206513e-49,1.8075601884911079e-10,3.3129015180361932e-25,5.9882688923939788e-35,0.56783888893978007,1.1356777778795601,1.80756027595664e-10,3.3130350749999996e-25,5.9885105944210277e-35,0.56786180838661193,4.8388722188454972e-08,8.0623518176487955e-05,4.0312571639885224e-05,4.0360958411655316e-05,8.0623517827843908e-05,1.0000000000000004
100,9.900990099009901e-12,2,1.0000000000000004,4.9999999999999993e-10,3.2066817272427397e-19,0,8.5427387632225909e-42,4.3890647962972496e-49,2.6583485987408433e-10,6.625001733054301e-25,1.7611564073720561e-34,1.6700203607782946,3.3400407215565893,2.6583488367413546e-10,6.6260701499999992e-25,1.7614405875419113e-34,1.6702898352371223,8.952945074592977e-08,0.00032246287267397082,0.00016124443622109934,0.00016133395123570183,0.00032246287261365308,1.0000000000000002
100,9.900990099009901e-12,3,1.0000000000000002,4.9999999999999993e-10,3.2770435019367375e-19,0,-1.5621008024178452e-41,9.8714151026879863e-49,2.7875500030254853e-10,9.9354995358502156e-25,2.7695701761218977e-34,2.6262508913842222,5.2525017827684444,2.7875505140990144e-10,9.9391052249999988e-25,2.7705757879632952e-34,2.6272044649811743,1.833414413382808e-07,0.00072542447951681646,0.00036277804371300486,0.00036296131864216086,0.00072542447951261366,1.0000000000000002
100,9.900990099009901e-12,4,0.99999999999999989,5.0000000000000075e-10,3.3016699563596934e-19,0,2.9289390045334595e-42,1.7539278746143413e-48,2.8313776794339641e-10,1.3243594204800831e-24,3.7497617026954071e-34,3.5557196199923253,7.1114392399846507,2.8313785749085251e-10,1.3252140299999998e-24,3.7521826117101832e-34,3.5580152521856636,3.1626804301343061e-07,0.0012893524193236157,0.00064488414744352416,0.00064520021153031623,0.0012893524193141148,0.99999999999999967
100,9.900990099009901e-12,5,0.99999999999999967,5.0000000000000096e-10,3.3130683031853982e-19,0,0,2.7385237563809589e-48,2.8514352582259141e-10,1.6548485599537376e-24,4.718693530876468e-34,4.4745113153211014,8.9490226306422027,2.8514366494889306e-10,1.6565175374999998e-24,4.7234548169486544e-34,4.4790262151055593,4.8791650929062027e-07,0.0020140285180938232,0.0010075218091448643,0.001008009234067757,0.0020140285180773525,1.0000000000000002
100,9.900990099009901e-12,6,1,5.0000000000000013e-10,3.3192598022536461e-19,0,-3.1242016048356903e-41,3.93997662264216e-48,2.8622714795309771e-10,1.984937435447818e-24,5.6814298101356494e-34,5.3874280680255726,10.774856136051145,2.8622734787513615e-10,1.9878210449999998e-24,5.6896874576073163e-34,5.3952584000461066,6.9847287455331319e-07,0.0028991724602650724,0.001450638406025025,0.0014513358656680917,0.002899172460258686,0.99999999999999967
100,9.900990099009901e-12,7,0.99999999999999889,5.0000000000000003e-10,3.3229928761737305e-19,0,1.5621008024178452e-41,5.3571241453444443e-48,2.8687852414806698e-10,2.3145462072173985e-24,6.6399359999903328e-34,6.2963336293311123,12.592667258662225,2.8687879619157963e-10,2.3191245524999997e-24,6.6530765983953582e-34,6.3087942301030502,9.4828727762542086e-07,0.0039444419339546418,0.0019741696398608054,0.0019751160550586472,0.0039444419339467948,0.99999999999999967
100,9.900990099009901e-12,8,1,4.9999999999999972e-10,3.3254155724413597e-19,0,-1.1715756018133838e-41,6.9885953257846098e-48,2.8730046509557941e-10,2.6435951516419093e-24,7.5950611659113931e-34,7.2020331274012728,14.404066254802546,2.8730082071955099e-10,2.6504280599999997e-24,7.6147015689612733e-34,7.2206571819428769,1.2378104966273403e-06,0.0051494328083008176,0.0025780395481062148,0.0025792741674786012,0.0051494328082989727,1.0000000000000002
100,9.900990099009901e-12,9,1,4.9999999999999993e-10,3.3270763462592286e-19,0,1.5621008024178452e-41,8.832811820962484e-48,2.8758935068239737e-10,2.9720046805081723e-24,8.5471689629239118e-34,8.1048713988977159,16.209742797795432,2.8758980150230245e-10,2.9817315675e-24,8.5751558963047408e-34,8.1314100688228219,1.5675795967977605e-06,0.0065136793427857465,0.0032621605170123093,0.0032637229829128502,0.006513679342789562,1.0000000000000007
100,9.900990099009901e-12,10,1.0000000000000002,5.0000000000000003e-10,3.328264063434332e-19,0,-3.905252006044613e-41,1.0887989470525819e-47,2.8779577193460154e-10,3.2996953602606739e-24,9.4963837335524373e-34,9.0049663518874592,18.009932703774918,2.8779632974574512e-10,3.3130350749999996e-24,9.5347933490391938e-34,9.0413883525933851,1.9382149316100077e-06,0.00803665442843381,0.0040264332967636001,0.0040283637076023665,0.008036654428437328,1.0000000000000002
