position_index,position_m,position_nm,position_over_box_width,quantum_number_n,wavefunction_m_neg_half,probability_density_m_inv,box_width_times_density
0,0,0,0,1,0,0,0
0,0,0,0,2,0,0,0
0,0,0,0,3,0,0,0
0,0,0,0,4,0,0,0
1,4.9999999999999999e-13,0.00050000000000000001,0.00050000000000000001,1,70.248118422018152,4934.7981418338859,4.9347981418338858e-06
1,4.9999999999999999e-13,0.00050000000000000001,0.00050000000000000001,2,140.49606351378725,19739.14386287014,1.9739143862870142e-05
1,4.9999999999999999e-13,0.00050000000000000001,0.00050000000000000001,3,210.74366194548597,44412.89105019327,4.4412891050193273e-05
1,4.9999999999999999e-13,0.00050000000000000001,0.00050000000000000001,4,280.99074038814814,78955.796183879662,7.8955796183879668e-05
2,9.9999999999999998e-13,0.001,0.001,1,140.49606351378725,19739.14386287014,1.9739143862870142e-05
2,9.9999999999999998e-13,0.001,0.001,2,280.99074038814814,78955.796183879662,7.8955796183879668e-05
2,9.9999999999999998e-13,0.001,0.001,3,421.48264399734205,177647.61919099017,0.00017764761919099019
2,9.9999999999999998e-13,0.001,0.001,4,561.97038774299904,315810.7167000167,0.00031581071670001669
3,1.5000000000000001e-12,0.0015,0.0015,1,210.74366194548597,44412.89105019327,4.4412891050193273e-05
3,1.5000000000000001e-12,0.0015,0.0015,2,421.48264399734205,177647.61919099017,0.00017764761919099019
3,1.5000000000000001e-12,0.0015,0.0015,3,632.21226636586277,399692.3497434606,0.00039969234974346064
3,1.5000000000000001e-12,0.0015,0.0015,4,842.92784946918925,710527.35941075219,0.00071052735941075221
4,2e-12,0.002,0.002,1,280.99074038814814,78955.796183879662,7.8955796183879668e-05
4,2e-12,0.002,0.002,2,561.97038774299904,315810.7167000167,0.00031581071670001669
4,2e-12,0.002,0.002,3,842.92784946918925,710527.35941075219,0.00071052735941075221
4,2e-12,0.002,0.002,4,1123.852033847206,1263043.3939825015,0.0012630433939825015
5,2.4999999999999998e-12,0.0025000000000000001,0.0024999999999999996,1,351.23712551409096,123367.51833940129,0.00012336751833940128
5,2.4999999999999998e-12,0.0025000000000000001,0.0024999999999999996,2,702.45258506780556,493439.63426844258,0.00049343963426844259
5,2.4999999999999998e-12,0.0025000000000000001,0.0024999999999999996,3,1053.6247140372261,1110125.0380300265,0.0011101250380300266
5,2.4999999999999998e-12,0.0025000000000000001,0.0024999999999999996,4,1404.7318504712696,1973271.5717284372,0.0019732715717284371
6,3.0000000000000001e-12,0.0030000000000000001,0.0030000000000000001,1,421.48264399734205,177647.61919099017,0.00017764761919099019
6,3.0000000000000001e-12,0.0030000000000000001,0.0030000000000000001,2,842.92784946918925,710527.35941075219,0.00071052735941075221
6,3.0000000000000001e-12,0.0030000000000000001,0.0030000000000000001,3,1264.2981812155533,1598449.891024956,0.0015984498910249561
6,3.0000000000000001e-12,0.0030000000000000001,0.0030000000000000001,4,1685.5562106871628,2841099.7393860673,0.0028410997393860673
7,3.5e-12,0.0035000000000000001,0.0034999999999999996,1,491.72712251406739,241795.56301596464,0.00024179556301596466
7,3.5e-12,0.0035000000000000001,0.0034999999999999996,2,983.39479451300224,967065.32187526987,0.00096706532187526995
7,3.5e-12,0.0035000000000000001,0.0034999999999999996,3,1474.9435726693252,2175458.5425585532,0.0021754585425585531
7,3.5e-12,0.0035000000000000001,0.0034999999999999996,4,1966.3140280299922,3866390.8568275329,0.0038663908568275329
8,3.9999999999999999e-12,0.0040000000000000001,0.0040000000000000001,1,561.97038774299904,315810.7167000167,0.00031581071670001669
8,3.9999999999999999e-12,0.0040000000000000001,0.0040000000000000001,2,1123.852033847206,1263043.3939825015,0.0012630433939825015
8,3.9999999999999999e-12,0.0040000000000000001,0.0040000000000000001,3,1685.5562106871628,2841099.7393860673,0.0028410997393860673
8,3.9999999999999999e-12,0.0040000000000000001,0.0040000000000000001,4,2246.9942186618641,5048983.0186998416,0.005048983018699842
9,4.4999999999999998e-12,0.0044999999999999997,0.0044999999999999997,1,632.21226636586277,399692.3497434606,0.00039969234974346064
9,4.4999999999999998e-12,0.0044999999999999997,0.0044999999999999997,2,1264.2981812155531,1598449.8910249555,0.0015984498910249557
9,4.4999999999999998e-12,0.0044999999999999997,0.0044999999999999997,3,1896.1314182850276,3595314.3554075905,0.0035953143554075906
9,4.4999999999999998e-12,0.0044999999999999997,0.0044999999999999997,4,2527.5857018094534,6388689.4799915869,0.0063886894799915876
10,4.9999999999999997e-12,0.0050000000000000001,0.0049999999999999992,1,702.45258506780556,493439.63426844258,0.00049343963426844259
10,4.9999999999999997e-12,0.0050000000000000001,0.0049999999999999992,2,1404.7318504712696,1973271.5717284372,0.0019732715717284371
10,4.9999999999999997e-12,0.0050000000000000001,0.0049999999999999992,3,2106.6645193100831,4438035.3969199834,0.0044380353969199838
