n,l,m,family,atomic_number,mass_number,label,energy_ev,effective_bohr_radius_angstrom,reduced_mass_ratio,radial_nodes,angular_nodes,degeneracy,parity,orientation
1,0,0,S,1,1,1s (m=+0),-13.598233405345852,0.52946750653002783,0.99945172086587464,0,0,1,1,spherical
2,1,-1,P,1,1,2p (m=-1),-3.3995583513364629,0.52946750653002783,0.99945172086587464,0,1,3,-1,p_y
2,1,0,P,1,1,2p (m=+0),-3.3995583513364629,0.52946750653002783,0.99945172086587464,0,1,3,-1,p_z
2,1,1,P,1,1,2p (m=+1),-3.3995583513364629,0.52946750653002783,0.99945172086587464,0,1,3,-1,p_x
3,2,-2,D,1,1,3d (m=-2),-1.5109148228162057,0.52946750653002783,0.99945172086587464,0,2,5,1,d_xy
3,2,-1,D,1,1,3d (m=-1),-1.5109148228162057,0.52946750653002783,0.99945172086587464,0,2,5,1,d_yz
3,2,0,D,1,1,3d (m=+0),-1.5109148228162057,0.52946750653002783,0.99945172086587464,0,2,5,1,d_z2
3,2,1,D,1,1,3d (m=+1),-1.5109148228162057,0.52946750653002783,0.99945172086587464,0,2,5,1,d_xz
3,2,2,D,1,1,3d (m=+2),-1.5109148228162057,0.52946750653002783,0.99945172086587464,0,2,5,1,d_x2-y2
4,3,-3,F,1,1,4f (m=-3),-0.84988958783411572,0.52946750653002783,0.99945172086587464,0,3,7,-1,real sine tesseral |m|=3
4,3,-2,F,1,1,4f (m=-2),-0.84988958783411572,0.52946750653002783,0.99945172086587464,0,3,7,-1,real sine tesseral |m|=2
4,3,-1,F,1,1,4f (m=-1),-0.84988958783411572,0.52946750653002783,0.99945172086587464,0,3,7,-1,real sine tesseral |m|=1
4,3,0,F,1,1,4f (m=+0),-0.84988958783411572,0.52946750653002783,0.99945172086587464,0,3,7,-1,axial tesseral l=3
4,3,1,F,1,1,4f (m=+1),-0.84988958783411572,0.52946750653002783,0.99945172086587464,0,3,7,-1,real cosine tesseral m=1
4,3,2,F,1,1,4f (m=+2),-0.84988958783411572,0.52946750653002783,0.99945172086587464,0,3,7,-1,real cosine tesseral m=2
4,3,3,F,1,1,4f (m=+3),-0.84988958783411572,0.52946750653002783,0.99945172086587464,0,3,7,-1,real cosine tesseral m=3
5,4,-4,G,1,1,5g (m=-4),-0.5439293362138341,0.52946750653002783,0.99945172086587464,0,4,9,1,real sine tesseral |m|=4
5,4,-3,G,1,1,5g (m=-3),-0.5439293362138341,0.52946750653002783,0.99945172086587464,0,4,9,1,real sine tesseral |m|=3
5,4,-2,G,1,1,5g (m=-2),-0.5439293362138341,0.52946750653002783,0.99945172086587464,0,4,9,1,real sine tesseral |m|=2
5,4,-1,G,1,1,5g (m=-1),-0.5439293362138341,0.52946750653002783,0.99945172086587464,0,4,9,1,real sine tesseral |m|=1
5,4,0,G,1,1,5g (m=+0),-0.5439293362138341,0.52946750653002783,0.99945172086587464,0,4,9,1,axial tesseral l=4
5,4,1,G,1,1,5g (m=+1),-0.5439293362138341,0.52946750653002783,0.99945172086587464,0,4,9,1,real cosine tesseral m=1
5,4,2,G,1,1,5g (m=+2),-0.5439293362138341,0.52946750653002783,0.99945172086587464,0,4,9,1,real cosine tesseral m=2
5,4,3,G,1,1,5g (m=+3),-0.5439293362138341,0.52946750653002783,0.99945172086587464,0,4,9,1,real cosine tesseral m=3
5,4,4,G,1,1,5g (m=+4),-0.5439293362138341,0.52946750653002783,0.99945172086587464,0,4,9,1,real cosine tesseral m=4
