n,l,family,node_index,radius_over_a,radius_over_n_squared_a
2,0,S,1,2,0.5
3,0,S,1,1.9019237886466842,0.21132486540518713
3,0,S,2,7.0980762113533151,0.78867513459481275
3,1,P,1,6,0.66666666666666663
4,0,S,1,1.8716444550481757,0.11697777844051098
4,0,S,2,6.6108145786645558,0.41317591116653474
4,0,S,3,15.517540966287264,0.96984631039295399
4,1,P,1,5.5278640450004204,0.34549150281252627
4,1,P,2,14.47213595499958,0.90450849718747373
4,2,D,1,12,0.75
5,0,S,1,1.8582298199535787,0.074329192798143151
5,0,S,2,6.4290875191156935,0.25716350076462774
5,0,S,3,14.327946879222749,0.57311787516891
5,0,S,4,27.384735781708009,1.0953894312683203
5,1,P,1,5.3530406917943072,0.21412162767177229
5,1,P,2,13.288792815441976,0.53155171261767908
5,1,P,3,26.358166492763733,1.0543266597105494
5,2,D,1,10.885621722338525,0.43542486889354104
5,2,D,2,24.114378277661473,0.96457513110645887
5,3,F,1,20,0.80000000000000004
6,0,S,1,1.8510925598348107,0.051419237773189186
6,0,S,2,6.3388978757355758,0.17608049654821045
6,0,S,3,13.832499453052586,0.38423609591812741
6,0,S,4,25.197200913614573,0.69992224760040478
6,0,S,5,42.780309197762463,1.1883419221600684
6,1,P,1,5.2665649415564744,0.14629347059879094
6,1,P,2,12.796817596970474,0.35546715547140206
6,1,P,3,24.173822049413985,0.67149505692816625
6,1,P,4,41.762795412059077,1.1600776503349743
6,2,D,1,10.429186528440177,0.28969962579000491
6,2,D,2,21.960738680260867,0.61002051889613518
6,2,D,3,39.610074791298935,1.1002798553138593
6,3,F,1,18,0.5
6,3,F,2,36,1
6,4,G,1,30,0.83333333333333337
7,0,S,1,1.8468384259889519,0.03769058012222351
7,0,S,2,6.2870493337519173,0.12830712926024321
7,0,S,3,13.568245321669265,0.27690296574835233
7,0,S,4,24.215857983466332,0.49420118333604757
7,0,S,5,39.321136501791187,0.80247217350594258
7,0,S,6,61.760872433332452,1.260425968027193
7,1,P,1,5.2169423081539001,0.10646821037048776
7,1,P,2,12.534668345161379,0.25580955806451794
7,1,P,3,23.194487038882677,0.47335687834454443
7,1,P,4,38.305463012136883,0.78174414310483431
7,1,P,5,60.748439295665349,1.2397640672584764
7,2,D,1,10.187752292786953,0.20791331209769293
7,2,D,2,21.000000000000014,0.42857142857142888
7,2,D,3,36.169386213751828,0.7381507390561598
7,2,D,4,58.642861493461275,1.1967930917032914
7,3,F,1,17.124626602123179,0.34948217555353428
7,3,F,2,32.63046469639248,0.6659278509467853
7,3,F,3,55.244908701484434,1.1274471163568252
7,4,G,1,26.891813233756096,0.54881251497461425
7,4,G,2,50.108186766243904,1.0226160564539573
7,5,H,1,42,0.8571428571428571
8,0,S,1,1.8440968792199812,0.028814013737812207
8,0,S,2,6.2543447586170613,0.097724136853391583
8,0,S,3,13.4082020101468,0.20950315640854375
8,0,S,4,23.665188996082794,0.36976857806379365
8,0,S,5,37.682797532085004,0.58879371143882819
8,0,S,6,56.776662192031374,0.88713534675049022
8,0,S,7,84.368707631817102,1.3182610567471422
8,1,P,1,5.1856768137770555,0.081026200215266492
8,1,P,2,12.375993523022998,0.19337489879723435
8,1,P,3,22.645140881645737,0.35383032627571465
8,1,P,4,36.668389078057544,0.57294357934464912
8,1,P,5,55.765381498083592,0.87133408590755612
8,1,P,6,83.359418205413064,1.3024909094595791
8,2,D,1,10.042234258676869,0.15690991029182608
8,2,D,2,20.462626144670509,0.3197285335104767
8,2,D,3,34.543498502580682,0.53974216410282316
8,2,D,4,53.669871529168518,0.83859174264325809
8,2,D,5,81.281769564903556,1.2700276494516181
8,3,F,1,16.6396798508665,0.25999499766978906
8,3,F,2,31.050254116541325,0.4851602205709582
8,3,F,3,50.311871326949273,0.78612298948358239
8,3,F,4,77.998194705642831,1.2187217922756692
8,4,G,1,25.464687578165083,0.39788574340882943
8,4,G,2,45.299128352273186,0.70779888050426853
8,4,G,3,73.236184069561716,1.1443153760869018
8,5,H,1,37.577794898144042,0.58715304528350065
8,5,H,2,66.422205101855951,1.0378469547164992
8,6,I,1,56,0.875
