label,n,l,m,sample_index,radius_over_a,radius_over_n_squared_a,scaled_radial_wavefunction,scaled_radial_probability,cumulative_probability,containment_target,extent_over_a
1s (m=+0),1,0,0,0,0,0,2.0000000000000004,0,0,0.99950000000000006,6.0256997487544908
1s (m=+0),1,0,0,1,0.0050214164572954089,0.0050214164572954089,1.9899823395572007,9.9850657191455445e-05,2.5069586664646828e-07,0.99950000000000006,6.0256997487544908
1s (m=+0),1,0,0,2,0.010042832914590818,0.010042832914590818,1.9800148558747748,0.00039541156921588235,1.4941548138257537e-06,0.99950000000000006,6.0256997487544908
1s (m=+0),1,0,0,3,0.015064249371886227,0.015064249371886227,1.9700972976258486,0.00088078587888622913,4.698314248154927e-06,0.99950000000000006,6.0256997487544908
1s (m=+0),1,0,0,4,0.020085665829181636,0.020085665829181636,1.9602294147424022,0.0015501947778128475,1.0801797386612699e-05,0.99950000000000006,6.0256997487544908
1s (m=+0),1,0,0,5,0.025107082286477046,0.025107082286477046,1.9504109584089635,0.0023979755387257291,2.0714501088448721e-05,0.99950000000000006,6.0256997487544908
1s (m=+0),1,0,0,6,0.030128498743772453,0.030128498743772453,1.9406416810563354,0.0034185795773049063,3.5318173880649736e-05,0.99950000000000006,6.0256997487544908
1s (m=+0),1,0,0,7,0.035149915201067861,0.035149915201067861,1.9309213363553521,0.0046065705431060722,5.5466984324098684e-05,0.99950000000000006,6.0256997487544908
1s (m=+0),1,0,0,8,0.040171331658363271,0.040171331658363271,1.9212496792106697,0.0059566224391739749,8.1988079865502898e-05,0.99950000000000006,6.0256997487544908
1s (m=+0),1,0,0,9,0.045192748115658682,0.045192748115658682,1.9116264657545847,0.0074635177699415786,0.00011568213631813525,0.99950000000000006,6.0256997487544908
1s (m=+0),1,0,0,10,0.050214164572954093,0.050214164572954093,1.9020514533408852,0.0091221457170183283,0.00015732389811242729,0.99950000000000006,6.0256997487544908
1s (m=+0),1,0,0,11,0.055235581030249496,0.055235581030249496,1.8925244005387341,0.010927500342476195,0.00020766270945547416,0.99950000000000006,6.0256997487544908
