configuration_id,factor_name,factor_value,seed,final_displacement_x_nm,final_displacement_y_nm,final_displacement_nm,total_contacts,total_impulses,total_direction_resets,total_small_wall_impacts,total_large_wall_impacts,maximum_collision_passes,maximum_displacement_nm,maximum_residual_penetration_nm,maximum_normalized_momentum_error,maximum_normalized_restitution_error,maximum_normalized_energy_identity_error
baseline,baseline,1.0,3000,0.25452767405479193,0.6587959772883352,0.7062552488661836,4477,3805,47228,14420,0,10,0.006135921424422786,0.0,3.8091728686461744e-16,1.112237792532792e-15,2.0332652048651995e-15
baseline,baseline,1.0,3001,0.40508892262497476,0.5053563563512498,0.6476743642742656,4519,3778,47212,14353,0,10,0.005818539698050615,0.0,4.71503424910371e-16,9.608623717081834e-16,2.096191245520849e-15
baseline,baseline,1.0,3002,1.054201069639955,-0.3348650985066328,1.1061078290238626,4650,3831,47196,14412,0,10,0.005993525251327569,0.0,3.252279567268145e-16,1.0546038483822973e-15,2.0915820123111526e-15
baseline,baseline,1.0,3003,-1.658205877131794,1.4313708131060103,2.1905408317505026,4360,3721,47223,14271,0,11,0.006203321458007121,0.0,4.846620184798873e-16,1.2437675805118403e-15,2.1242171149851605e-15
baseline,baseline,1.0,3004,-0.35870249210408467,0.665530162658488,0.7560409216768061,4630,3855,47215,14535,0,10,0.006265229408205908,0.0,3.6097853579937097e-16,9.273603280638396e-16,1.629179223562348e-15
baseline,baseline,1.0,3005,0.6055043044445796,0.7003654357132234,0.925822448551928,4660,3817,47190,14276,0,10,0.006270867348856922,0.0,3.657646087548585e-16,9.370506178301487e-16,1.81955532809047e-15
baseline,baseline,1.0,3006,-0.21571580046820937,-0.7640498212147886,0.7939177765171849,4379,3809,47202,14353,0,10,0.006065178478289723,0.0,3.474762308488366e-16,9.945575570816716e-16,1.8143884202878212e-15
baseline,baseline,1.0,3007,-0.2674102717142848,0.13166672016298264,0.29806774165747085,4304,3688,47217,14495,0,10,0.006015435430954279,0.0,3.753632679542327e-16,9.99004542297971e-16,2.4609652146788605e-15
baseline,baseline,1.0,3008,0.012727829313879724,-0.27878371429481685,0.27907410663667337,4597,3780,47216,14408,0,10,0.006120455279214992,0.0,3.679434165619607e-16,9.594259051925902e-16,1.6120415505906838e-15
baseline,baseline,1.0,3009,-0.570310960549171,-1.2538230739327405,1.3774348959020404,4484,3879,47199,14151,0,10,0.006038901966281595,0.0,3.5943425399970266e-16,9.912630055817306e-16,1.9995740292726138e-15
baseline,baseline,1.0,3010,-1.6045705158017847,0.549187086348983,1.6959519438925414,4703,3859,47216,14418,0,10,0.005787523311775141,0.0,4.2456931315849325e-16,9.953841441152594e-16,1.8982000647269992e-15
baseline,baseline,1.0,3011,-0.26311738220620207,-0.39417430222170946,0.4739241894554615,4433,3814,47191,14544,0,10,0.0060223707137789665,0.0,4.090512411980202e-16,1.0274295242943853e-15,1.9748891619025323e-15
baseline,baseline,1.0,3012,-0.9165335019894103,0.3334719977352467,0.9753139153844309,4531,3850,47200,14501,0,10,0.006254146423455389,0.0,4.310070519529603e-16,8.763696091556608e-16,1.663818253615717e-15
baseline,baseline,1.0,3013,1.017936323280038,-1.147204898544981,1.5337123059747817,4587,3761,47230,14596,0,10,0.006463341146831245,0.0,3.9208935459868155e-16,9.456590750204014e-16,1.7353269214432298e-15
baseline,baseline,1.0,3014,-0.07957243287717919,-0.005369717534400742,0.07975340707701734,4456,3816,47199,14428,0,11,0.006275902884031519,0.0,3.6714442235548125e-16,1.0906521169117938e-15,2.2711978983103987e-15
baseline,baseline,1.0,3015,0.8940903217171154,0.860057318987046,1.24060311757282,4317,3784,47196,14492,0,10,0.006178516411539339,0.0,4.068194127178697e-16,1.0250165063021793e-15,1.7819058222431368e-15
baseline,baseline,1.0,3016,-0.9961041801105059,1.6510538480974102,1.9282640760411656,4478,3751,47221,14670,0,10,0.006395929053910023,0.0,3.955746879844934e-16,1.0481209267416025e-15,1.968574126358456e-15
baseline,baseline,1.0,3017,-1.548619335901984,-0.8461773678336835,1.7647203703033076,4368,3737,47210,14542,0,10,0.005990187221723639,0.0,4.03466929447471e-16,8.451467646391399e-16,1.6315207499859673e-15
baseline,baseline,1.0,3018,-0.49521018554002705,-0.6076343648434683,0.7838703012624686,4510,3806,47215,14735,0,10,0.005831651437288523,0.0,4.2389075035110625e-16,1.1047533587691587e-15,1.9593460350146784e-15
baseline,baseline,1.0,3019,0.1895754981126867,-0.9391824056039662,0.9581244493700837,4481,3827,47200,14229,0,10,0.006339583227501151,0.0,3.5922990439902573e-16,1.0798395969435133e-15,1.9769705782861576e-15
baseline,baseline,1.0,3020,-0.46800461081049427,1.5227239275994755,1.5930211785861024,4391,3704,47200,14488,0,10,0.005955618224747171,0.0,3.6387954131743537e-16,9.584464913947322e-16,2.0638271029356125e-15
baseline,baseline,1.0,3021,-0.6495459958247407,0.14405219916764622,0.6653277664256838,4549,3699,47221,14519,0,10,0.006197122626405675,0.0,3.7362251488307626e-16,1.0248314943475985e-15,2.1309790028822346e-15
baseline,baseline,1.0,3022,-0.19898401671667099,0.7901495900848161,0.8148196202963595,4369,3697,47212,14389,0,10,0.005988514302926013,0.0,3.7023047979919587e-16,1.1182903204583868e-15,1.9369195382770753e-15
baseline,baseline,1.0,3023,-0.374450768695306,1.0598572466835936,1.1240599456987306,4348,3685,47202,14607,0,10,0.006486872855364561,0.0,3.9375894919669067e-16,9.361207681614782e-16,1.6490503729340946e-15
baseline,baseline,1.0,3024,0.19590929198299456,1.195072498272662,1.211023834122574,4387,3671,47195,14831,0,10,0.006098102550627175,0.0,3.936199875893574e-16,9.232365212502075e-16,1.9013625809120732e-15
baseline,baseline,1.0,3025,0.0802059241895261,-0.6169399637926363,0.6221317458541683,4622,3843,47192,14233,0,10,0.005669649391700631,0.0,3.9414720016509273e-16,1.026995399099887e-15,2.1891233168199386e-15
baseline,baseline,1.0,3026,-0.4138199000124736,-0.2798619243595688,0.49956942095426005,4649,3863,47181,14567,0,10,0.005923284432020479,0.0,4.623440534085427e-16,1.020894813500366e-15,1.7102600853857586e-15
baseline,baseline,1.0,3027,-0.49233062803288963,1.8202204102242803,1.8856276910080385,4582,3759,47192,14475,0,10,0.006665866562883612,0.0,3.6655570240914415e-16,9.693583860937978e-16,1.9089871148433654e-15
baseline,baseline,1.0,3028,0.44825102482549006,0.6454967807177443,0.7858721748312977,4398,3822,47222,14535,0,10,0.006596897010636973,0.0,4.170273928995975e-16,1.119903730865761e-15,2.002922421135673e-15
baseline,baseline,1.0,3029,-0.14692318288178097,0.034410891641611485,0.15089907598021926,4272,3660,47230,14397,0,10,0.006400341921464539,0.0,4.0793624476609704e-16,9.488310721900304e-16,1.7358128700226127e-15
baseline,baseline,1.0,3030,-1.2746323375616884,-0.7471395226213797,1.4774657566999234,4554,3888,47227,14283,0,10,0.005930329236990058,0.0,3.6499726145241926e-16,1.0429737610088888e-15,1.8548274066602042e-15
baseline,baseline,1.0,3031,-0.6540778122342346,-0.8708601827056004,1.0891350890863605,4475,3807,47203,14352,0,10,0.005851332149715533,0.0,3.988401002982037e-16,9.703566822140287e-16,2.0496302964413917e-15
baseline,baseline,1.0,3032,0.6405605613477192,1.0687974179087707,1.2460520668425379,4682,3932,47224,14269,0,10,0.005978733930080629,0.0,3.8314739248394283e-16,9.822924207608603e-16,1.6537194725460352e-15
baseline,baseline,1.0,3033,-1.2088487972899538,0.111215511613036,1.2139539961352395,4599,3847,47212,14494,0,10,0.006513433123295713,0.0,3.9658386160537323e-16,9.196134357630984e-16,1.664438455208632e-15
baseline,baseline,1.0,3034,-0.37288006251281214,-1.9534248567180912,1.9886951027906852,4754,3940,47197,14464,0,10,0.006161040726747736,0.0,3.913749741549422e-16,9.263647144783934e-16,1.7564904716242733e-15
baseline,baseline,1.0,3035,-0.32966869446038594,-1.0157288528039885,1.0678888287297146,4353,3780,47234,14589,0,10,0.006351395727603945,0.0,4.158310862958477e-16,1.0159075954520088e-15,2.0475815115229766e-15
baseline,baseline,1.0,3036,-0.9940327313914707,-0.43037671040339553,1.0832013589057374,4652,3849,47213,14332,0,10,0.006043622188446061,0.0,3.8221086129177053e-16,9.328628156328907e-16,1.7740205512672923e-15
baseline,baseline,1.0,3037,0.33440676872411323,-1.0047899018272375,1.0589762196491912,4535,3819,47214,14457,0,10,0.006057169767925584,0.0,3.5042583784746854e-16,1.0642941476045355e-15,1.822691039885367e-15
baseline,baseline,1.0,3038,-0.4316900797043868,0.7365163665380123,0.8537052671112763,4639,3852,47201,14473,0,10,0.006270880070214168,0.0,3.7577292901850203e-16,9.520992377917683e-16,1.921180229358202e-15
baseline,baseline,1.0,3039,-1.0528363576499924,0.4790682996552693,1.15670689101617,4760,3881,47193,14390,0,10,0.00616226535266178,0.0,4.1129273558679307e-16,9.211224448847336e-16,1.9300827917175856e-15
baseline,baseline,1.0,3040,0.9832123426356425,0.1597257388324298,0.9961018132483414,4445,3795,47237,14549,0,10,0.005962824687168494,0.0,3.64452910075742e-16,1.0975717424999502e-15,1.6952665052203514e-15
baseline,baseline,1.0,3041,0.4226094810791796,-1.8707515073638445,1.9178920657331346,4612,3872,47212,14606,0,10,0.005806274539558229,0.0,4.2432344606049296e-16,1.212303023733565e-15,2.4475050932209407e-15
baseline,baseline,1.0,3042,1.4316088866035823,-0.5255720996506605,1.525034437687737,4542,3775,47226,14526,0,10,0.0058781143363107035,0.0,4.0579295121423634e-16,9.918524753933208e-16,2.2101195696248822e-15
baseline,baseline,1.0,3043,-1.1422025163362086,0.37247068838323116,1.2013996013106734,4450,3720,47219,14880,0,10,0.006307783742661707,0.0,3.958012347136123e-16,1.0128513047486043e-15,1.7660286945889333e-15
